-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1
-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	-1	24	-1	-1	-1	-1	-1	-1	6	8
25	-1	24	-1	-1	-1	-1	-1	-1	6	8
-1	-1	-1	5	5	-1	-1	-1	-1	-1	8
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	5	5	5	5	-1	-1	-1	-1	-1	-1
-1	5	5	5	5	-1	-1	-1	-1	-1	-1
5	5	5	5	5	-1	-1	-1	-1	-1	-1
6	6	4	4	4	4	-1	6	-1	-1	-1
-1	6	4	4	4	4	-1	6	-1	-1	-1
-1	6	4	5	4	4	-1	6	-1	-1	-1
-1	6	4	4	4	4	-1	6	-1	-1	-1
-1	6	4	4	4	4	-1	6	-1	-1	-1
-1	6	4	4	4	4	-1	6	-1	-1	-1
-1	6	2	3	3	3	-1	6	-1	-1	-1
-1	1	2	2	3	3	-1	-1	-1	-1	-1
-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	1	1	2	4
-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
